SKU Code,SKU Description,Component Code,Component Description,Base Quantity per 1000 CS,UOM
1050446,CTBM Premier Clean FH M 3PK+3CAPS PHx72,P11270073,OPP TAPE WITH LOGO-910m,0.86,ROL
1050458,CTBM CLASSIC_CLEAN FH HDL B LATAM*300,P11270067,Plastic bag for naked brush/ handle,1000,PC
1050458,CTBM CLASSIC_CLEAN FH HDL B LATAM*300,P11241030,SHIPPER-PC14-Handle x300-LATAM,1000,PC
1050458,CTBM CLASSIC_CLEAN FH HDL B LATAM*300,P11270056,OPP TAPE 4.8cm WITH LOGO,9.89,ROL
1050458,CTBM CLASSIC_CLEAN FH HDL B LATAM*300,P11270120,Slip Sheet 40x48 0.8MM,7.94,PC
1050458,CTBM CLASSIC_CLEAN FH HDL B LATAM*300,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.53,KG
1050459,CTBM CLASSIC_CLEAN FH HDL G LATAM*300,P11270067,Plastic bag for naked brush/ handle,1000,PC
1050459,CTBM CLASSIC_CLEAN FH HDL G LATAM*300,P11241030,SHIPPER-PC14-Handle x300-LATAM,1000,PC
1050459,CTBM CLASSIC_CLEAN FH HDL G LATAM*300,P11270056,OPP TAPE 4.8cm WITH LOGO,9.9,ROL
1050459,CTBM CLASSIC_CLEAN FH HDL G LATAM*300,P11270120,Slip Sheet 40x48 0.8MM,7.94,PC
1050459,CTBM CLASSIC_CLEAN FH HDL G LATAM*300,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.53,KG
1050460,CTBM CLASSIC_CLEAN FH HDL R LATAM*300,P11270067,Plastic bag for naked brush/ handle,1000,PC
1050460,CTBM CLASSIC_CLEAN FH HDL R LATAM*300,P11241030,SHIPPER-PC14-Handle x300-LATAM,1000,PC
1050460,CTBM CLASSIC_CLEAN FH HDL R LATAM*300,P11270056,OPP TAPE 4.8cm WITH LOGO,9.9,ROL
1050460,CTBM CLASSIC_CLEAN FH HDL R LATAM*300,P11270120,Slip Sheet 40x48 0.8MM,7.94,PC
1050460,CTBM CLASSIC_CLEAN FH HDL R LATAM*300,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.53,KG
1050461,CTBM  CLASSIC_CLEAN FH HDL V LATAM*300,P11270067,Plastic bag for naked brush/ handle,1000,PC
1050461,CTBM  CLASSIC_CLEAN FH HDL V LATAM*300,P11241030,SHIPPER-PC14-Handle x300-LATAM,1000,PC
1050461,CTBM  CLASSIC_CLEAN FH HDL V LATAM*300,P11270056,OPP TAPE 4.8cm WITH LOGO,9.9,ROL
1050461,CTBM  CLASSIC_CLEAN FH HDL V LATAM*300,P11270120,Slip Sheet 40x48 0.8MM,7.94,PC
1050461,CTBM  CLASSIC_CLEAN FH HDL V LATAM*300,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.53,KG
1050468,CTBM PREMIER CLEAN FH S 1PK TW*72,P11230108,Plastic Tray 2x6-42mm,6000,PC
1050468,CTBM PREMIER CLEAN FH S 1PK TW*72,P11270079,SHRINK FILM-330mmx15mic-POF-0612,18.9,KG
1050468,CTBM PREMIER CLEAN FH S 1PK TW*72,P11250152,STICKER-BARCODE-P.CLEAN-S 1PK-ASIA,6000,PC
1050468,CTBM PREMIER CLEAN FH S 1PK TW*72,P11241818,PC 18 FHS SHIPPER 1PK T2X6(42) 72 ASIA,1000,PC
1050468,CTBM PREMIER CLEAN FH S 1PK TW*72,P11270073,OPP TAPE WITH LOGO-910m,1.132,ROL
1050468,CTBM PREMIER CLEAN FH S 1PK TW*72,P11212510,PC 21 FHS BC 1PK 42MM ASIA,72000,PC
1050468,CTBM PREMIER CLEAN FH S 1PK TW*72,P11220291,25% PCR PET ROLL 0.30x280mm S6,315.05,KG
1050507,CTBM ZZ_PLUS (TC) FH S +CAP ASIAx72,P11242452,SHIPPER ZZ 25 S 1PK+C T2X6 72 ASIA,1000,PC
1050507,CTBM ZZ_PLUS (TC) FH S +CAP ASIAx72,P11212833,BC ZZ 25 S 1PK 42MM + C + LB ASIA,72000,PC
1050507,CTBM ZZ_PLUS (TC) FH S +CAP ASIAx72,P11220291,25% PCR PET ROLL 0.30x280mm S6,315.05,KG
1050507,CTBM ZZ_PLUS (TC) FH S +CAP ASIAx72,P11250276,STICKER- BARCODE-ZZ cap -1P -Asia 72,6000,PC
1050507,CTBM ZZ_PLUS (TC) FH S +CAP ASIAx72,P11270073,OPP TAPE WITH LOGO-910m,1.4,ROL
1050507,CTBM ZZ_PLUS (TC) FH S +CAP ASIAx72,P11230108,Plastic Tray 2x6-42mm,6000,PC
1050507,CTBM ZZ_PLUS (TC) FH S +CAP ASIAx72,P11270079,SHRINK FILM-330mmx15mic-POF-0612,18.9,KG
1050507,CTBM ZZ_PLUS (TC) FH S +CAP ASIAx72,P11251085,STICKER ZZ 25 24X76 ROLL ASIA,72000,PC
1050528,CTBM ZIGZAG (TC) FH M 6PK SPC*288,P11212922,BC ZZ 25 M 6PK 120MM + LB SPC,48000,PC
1050528,CTBM ZIGZAG (TC) FH M 6PK SPC*288,P11220298,25% PCR PET ROLL 0.4x271 mm S2 25kg,813.13,KG
1050528,CTBM ZIGZAG (TC) FH M 6PK SPC*288,P11251121,STICKER ZZ 25 100X76 ROLL SPC,48000,PC
1050528,CTBM ZIGZAG (TC) FH M 6PK SPC*288,P11230080,Plastic Tray 1X6-120mm Uton,8000,PC
1050528,CTBM ZIGZAG (TC) FH M 6PK SPC*288,P11270005,SHRINK FILM-19UM @ 420MM-POF-PCS,46.4,KG
1050528,CTBM ZIGZAG (TC) FH M 6PK SPC*288,P11242600,SHIPPER ZZ 25 M 6PK T1x6 288 SPC,1000,PC
1050528,CTBM ZIGZAG (TC) FH M 6PK SPC*288,P11270073,OPP TAPE WITH LOGO-910m,1.5,ROL
1050528,CTBM ZIGZAG (TC) FH M 6PK SPC*288,P11250388,STICKER BARCODE-ZZP-6PK-M-50X80-SPC,8000,PC
1050533,CTBM ZIGZAG (TC) FH S 3PK SPC*288,P11212921,BC ZZ 25 S 3PK 70MM + LB SPC,96000,PC
1050533,CTBM ZIGZAG (TC) FH S 3PK SPC*288,P11251122,STICKER ZZ 25 50X76 ROLL SPC,96000,PC
1050533,CTBM ZIGZAG (TC) FH S 3PK SPC*288,P11250430,STICKER BARCODE-ZZP-3PK-S-50X60-SPC,16000,PC
1050533,CTBM ZIGZAG (TC) FH S 3PK SPC*288,P11230091,Plastic Tray 1x6 - 70 mm     Uton,16000,PC
1050533,CTBM ZIGZAG (TC) FH S 3PK SPC*288,P11242542,SHIPPER ZZ 25 S 3PK T1X6 288 SPC,1000,PC
1050533,CTBM ZIGZAG (TC) FH S 3PK SPC*288,P11220310,25% PCR PET ROLL 0.35x310 mm S4 25kg,813.88,KG
1050533,CTBM ZIGZAG (TC) FH S 3PK SPC*288,P11270073,OPP TAPE WITH LOGO-910m,1.4,ROL
1050533,CTBM ZIGZAG (TC) FH S 3PK SPC*288,P11270079,SHRINK FILM-330mmx15mic-POF-0612,50.4,KG
1050587,CTBM ZIGZAG (TC) FH S 6PK SPC*288,P11212920,BC ZZ 25 S 6PK 120MM + LB SPC,48000,PC
1050587,CTBM ZIGZAG (TC) FH S 6PK SPC*288,P11220298,25% PCR PET ROLL 0.4x271 mm S2 25kg,813.13,KG
1050587,CTBM ZIGZAG (TC) FH S 6PK SPC*288,P11251121,STICKER ZZ 25 100X76 ROLL SPC,48000,PC
1050587,CTBM ZIGZAG (TC) FH S 6PK SPC*288,P11230080,Plastic Tray 1X6-120mm Uton,8000,PC
1050587,CTBM ZIGZAG (TC) FH S 6PK SPC*288,P11270005,SHRINK FILM-19UM @ 420MM-POF-PCS,46.4,KG
1050587,CTBM ZIGZAG (TC) FH S 6PK SPC*288,P11242541,SHIPPER ZZ 25 S 6PK T1x6 288 SPC,1000,PC
1050587,CTBM ZIGZAG (TC) FH S 6PK SPC*288,P11270073,OPP TAPE WITH LOGO-910m,1.5,ROL
1050587,CTBM ZIGZAG (TC) FH S 6PK SPC*288,P11250387,STICKER BARCODE-ZZP-6PK-S-50X80-SPC,8000,PC
1051416,CTBM CLASSIC D.CLEAN FH S NKBR+C VN*288,P11260124,Liner-Naked brush with Cap- 289x163mm,17000,PC
1051416,CTBM CLASSIC D.CLEAN FH S NKBR+C VN*288,P11241156,SHIPPER--CLASSIC DC-S-NKBR+CAP-288-ASIA,1000,PC
1051416,CTBM CLASSIC D.CLEAN FH S NKBR+C VN*288,P11270073,OPP TAPE WITH LOGO-910m,0.92,ROL
1051510,CTBM ZZ_PLUS (TC) FH S 4PK+2CAP ASIA*96,P11220294,25% PCR PET ROLL 0.35x280mm S6,245.04,KG
1051510,CTBM ZZ_PLUS (TC) FH S 4PK+2CAP ASIA*96,P11212856,BC ZZ 25 S 4PK 85MM + LB HK,24000,PC
1051510,CTBM ZZ_PLUS (TC) FH S 4PK+2CAP ASIA*96,P11242474,SHIPPER ZZ 25 S 4PK T1x6 96 HK,1000,PC
1051510,CTBM ZZ_PLUS (TC) FH S 4PK+2CAP ASIA*96,P11251096,STICKER ZZ 25 65x76 ROLL HK,24000,PC
1051510,CTBM ZZ_PLUS (TC) FH S 4PK+2CAP ASIA*96,P11270079,SHRINK FILM-330mmx15mic-POF-0612,12.6,KG
