Size Type IM,,Name System,,,Size Type TE,,Name System,,,Status,Area,SKU từ BOM,Check mã C từ BOM - còn chạy,Case When Tableau,,Status,Area,Size Type,,Khu Vực,Material,Size Type,,,,Material / SKU Code,SIZE TYPE,PrimaryConvFactor,Status
C0000004746,HDL_123_15_Size,123_15,123_15,,C0000007106,TE_TW_WH_Size,TWWH_,TW_WH,,C3,TE,C0000010279,360 RMG Optic White 22 FHS WT/WT/GN TB,WHEN 'C0000004746' THEN 'HDL_123_15_Size',,,IM,#N/A,,,,,,,WHEN '61006599' THEN 'HA_S4_TPL_36_Size',61006599,HA_S4_TPL_36_Size,36,C5
C0000004747,HDL_123_15_Size,123_15,123_15,,C0000007107,TE_TW_WH_Size,TWWH_,TW_WH,,C3,TE,C0000010280,360 RMG Optic White 22 FHS WT/WT/BL TB,WHEN 'C0000004747' THEN 'HDL_123_15_Size',,,IM,#N/A,,,,,,,WHEN '1050533' THEN 'HA_S4_TPL_36_Size',1050533,HA_S4_TPL_36_Size,288,C3
C0000004748,HDL_123_15_Size,123_15,123_15,,C0000007108,TE_TW_WH_Size,TWWH_18_M,TW_WH,,C3,TE,C0000010287,Extra Clean PU/WT 22 FHS RPP TB,WHEN 'C0000004748' THEN 'HDL_123_15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN 'FVN59964' THEN 'HA_S4_TPL_36_Size',FVN59964,HA_S4_TPL_36_Size,144,C5
C0000004749,SKE_SS_15_Size,SS_15,SS_15,,C0000007109,TE_TW_WH_Size,TWWH_18_M,TW_WH,,C3,TE,C0000010288,Extra Clean PK/WT 22 FHS RPP TB,WHEN 'C0000004749' THEN 'SKE_SS_15_Size',,,IM,#N/A,,,,,,,WHEN '61020892' THEN 'HA_S4_TPL_36_Size',61020892,HA_S4_TPL_36_Size,36,C5
C0000004750,SKE_SS_15_Size,SS_15,SS_15,,C0000007110,TE_TW_WH_Size,TWWH_18_M,TW_WH,,C3,TE,C0000010289,Extra Clean GN/WT 22 FHS RPP TB,WHEN 'C0000004750' THEN 'SKE_SS_15_Size',,,IM,#N/A,,,,,,,WHEN '1052324' THEN 'HA_S4_TPL_36_Size',1052324,HA_S4_TPL_36_Size,36,C5
C0000004751,SKE_SS_15_Size,SS_15,SS_15,,C0000007155,TE_JUNGLE_5+_Size,JUNGLE_5+,JUNGLE_5+,,C3,TE,C0000010290,Extra Clean BL/WT 22 FHS RPP TB,WHEN 'C0000004751' THEN 'SKE_SS_15_Size',,,IM,#N/A,,,,,,,WHEN '1051992' THEN 'HA_S4_TPL_36_Size',1051992,HA_S4_TPL_36_Size,36,C5
C0000004752,SKE_SS_15_Size,SS_15,SS_15,,C0000007156,TE_TANDY_K_S_Size,K5+_TANDY_S,TANDY_K_S,,C3,TE,C0000010291,Extra Clean PU/WT 22 FHM RPP TB,WHEN 'C0000004752' THEN 'SKE_SS_15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN 'VN00154A' THEN 'HA_S4_TPL_36_Size',VN00154A,HA_S4_TPL_36_Size,36,C3
C0000004788,HDL_SS_15_Size,SS_15,SS_15,,C0000007365,TE_GC 21_Size,GCCC_19_S,GC 21,,C3,TE,C0000010292,Extra Clean PK/WT 22 FHM RPP TB,WHEN 'C0000004788' THEN 'HDL_SS_15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '1051110' THEN 'HA_S4_TPL_36_Size',1051110,HA_S4_TPL_36_Size,36,C5
C0000004789,HDL_SS_15_Size,SS_15,SS_15,,C0000007366,TE_GC 21_Size,GCCC_19_S,GC 21,,C3,TE,C0000010293,Extra Clean GN/WT 22 FHM RPP TB,WHEN 'C0000004789' THEN 'HDL_SS_15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61006600' THEN 'HA_S4_TPL_36_Size',61006600,HA_S4_TPL_36_Size,36,C5
C0000004790,HDL_SS_15_Size,SS_15,SS_15,,C0000007367,TE_GC 21_Size,GCCC_19_S,GC 21,,C3,TE,C0000010294,Extra Clean BL/WT 22 FHM RPP TB,WHEN 'C0000004790' THEN 'HDL_SS_15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61035737' THEN 'HA_S4_TPL_36_Size',61035737,HA_S4_TPL_36_Size,36,C5
C0000004791,HDL_SS_15_Size,SS_15,SS_15,,C0000007368,TE_GC 21_Size,GCCC_19_S,GC 21,,#N/A,SKE,C0000010401,Double Action 22 XH BLSkeleton,WHEN 'C0000004791' THEN 'HDL_SS_15_Size',,,IM,#N/A,,,,,,,WHEN '61035804' THEN 'HA_S4_TPL_36_Size',61035804,HA_S4_TPL_36_Size,36,C3
C0000004841,HDL_AC_17_Size,AC_17,AC_17,,C0000007377,TE_ZZGC18_Size,ZZGC_18,ZZGC18,,#N/A,SKE,C0000010402,Double Action 22 XH PK Skeleton,WHEN 'C0000004841' THEN 'HDL_AC_17_Size',,,IM,#N/A,,,,,,,WHEN '61041843' THEN 'HA_S4_TPL_36_Size',61041843,HA_S4_TPL_36_Size,36,C5
C0000004842,HDL_AC_17_Size,AC_17,AC_17,,C0000007378,TE_ZZGC18_Size,ZZGC_18,ZZGC18,,#N/A,SKE,C0000010403,Double Action 22 XH GN Skeleton,WHEN 'C0000004842' THEN 'HDL_AC_17_Size',,,IM,#N/A,,,,,,,WHEN '1050534' THEN 'HA_S4_TPL_36_Size',1050534,HA_S4_TPL_36_Size,288,C5
C0000004843,HDL_AC_17_Size,AC_17,AC_17,,C0000007379,TE_ZZGC18_Size,ZZGC_18,ZZGC18,,C3,IM,C0000010412,Double Action 22 XH PK/WT Handle,WHEN 'C0000004843' THEN 'HDL_AC_17_Size',,,IM,#N/A,,,,,,,WHEN '61030150' THEN 'HA_S4_TPL_36_Size',61030150,HA_S4_TPL_36_Size,36,C3
C0000005071,SKE_GC 15_Size,GC 15,GC 15,,C0000007397,TE_SF_GC_19_Size,SFGC_19,SF_GC_19,,C3,IM,C0000010413,Double Action 22 XH GN/WT Handle,WHEN 'C0000005071' THEN 'SKE_GC 15_Size',,,IM,#N/A,,,,,,,WHEN 'VN01054A' THEN 'HA_S4_TPL_36_Size',VN01054A,HA_S4_TPL_36_Size,36,C5
C0000005075,SKE_ZZ 15_Size,ZZ 15,ZZ 15,,C0000007398,TE_SF_GC_19_Size,SFGC_19,SF_GC_19,,C3,IM,C0000010414,Double Action 22 XH BL/WT Handle,WHEN 'C0000005075' THEN 'SKE_ZZ 15_Size',,,IM,#N/A,,,,,,,WHEN '1053202' THEN 'HA_S4_TPL_36_Size',1053202,HA_S4_TPL_36_Size,36,C5
C0000005076,SKE_ZZ 15_Size,ZZ 15,ZZ 15,,C0000007399,TE_SF_GC_19_Size,SFGC_19,SF_GC_19,,C3,TE,C0000010422,Double Action 22 XHM PK/WT TB,WHEN 'C0000005076' THEN 'SKE_ZZ 15_Size',,,IM,#N/A,,,,,,,WHEN '61046302' THEN 'HA_S4_TPL_36_Size',61046302,HA_S4_TPL_36_Size,36,C3
C0000005077,SKE_ZZ 15_Size,ZZ 15,ZZ 15,,C0000007400,TE_SF_GC_19_Size,SFGC_19,SF_GC_19,,C3,TE,C0000010423,Double Action 22 XHM GN/WT TB,WHEN 'C0000005077' THEN 'SKE_ZZ 15_Size',,,IM,#N/A,,,,,,,WHEN '61048265' THEN 'HA_S4_TPL_36_Size',61048265,HA_S4_TPL_36_Size,36,C5
C0000005078,SKE_ZZ 15_Size,ZZ 15,ZZ 15,,C0000007523,TE_Kid 6+_S_Size,K6+_TAPER_S,Kid 6+_S,,C3,TE,C0000010424,Double Action 22 XHM BL/WT TB,WHEN 'C0000005078' THEN 'SKE_ZZ 15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61006574' THEN 'HA_S4_TPL_36_Size',61006574,HA_S4_TPL_36_Size,36,C5
C0000005079,SKE_EXCL_15_Size,EXCL_15,EXCL_15,,C0000007525,TE_Kid 6+_S_Size,K6+_TAPER_S,Kid 6+_S,,C3,IM,C0000010474,Premier Clean 22 FH PU/WT Handle,WHEN 'C0000005079' THEN 'SKE_EXCL_15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '1059964' THEN 'HA_S4_TPL_36_Size',1059964,HA_S4_TPL_36_Size,144,C5
C0000005121,HDL_GC 15_Size,GC_15,GC 15,,C0000007526,TE_TA_GC_19_Size,TAGC_19_S,TA_GC_19,,C3,IM,C0000010475,Premier Clean 22 FH PK/WT Handle,WHEN 'C0000005121' THEN 'HDL_GC 15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61019883' THEN 'HA_S4_TPL_72_Size',61019883,HA_S4_TPL_72_Size,72,C5
C0000005122,HDL_GC 15_Size,GC_15,GC 15,,C0000007527,TE_TA_GC_19_Size,TAGC_19_S,TA_GC_19,,C3,IM,C0000010476,Premier Clean 22 FH BL/WT Handle,WHEN 'C0000005122' THEN 'HDL_GC 15_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61049254' THEN 'HA_S4_TPL_72_Size',61049254,HA_S4_TPL_72_Size,72,C3
C0000005123,HDL_GC 15_Size,GC_15,GC 15,,C0000007528,TE_TA_GC_19_Size,TAGC_19_S,TA_GC_19,,C3,IM,C0000010477,Premier Clean 22 FH GN/WT Handle,WHEN 'C0000005123' THEN 'HDL_GC 15_Size',,,IM,#N/A,,,,,,,WHEN 'VN00964A' THEN 'HA_S4_TPL_72_Size',VN00964A,HA_S4_TPL_72_Size,72,C3
C0000005124,HDL_GC 15_Size,GC_15,GC 15,,C0000007529,TE_TA_GC_19_Size,TAGC_19_S,TA_GC_19,,C3,TE,C0000010482,Premier Clean 22 FHS PU/WT TB,WHEN 'C0000005124' THEN 'HDL_GC 15_Size',,,IM,#N/A,,,,,,,WHEN '61018233' THEN 'HA_S4_TPL_72_Size',61018233,HA_S4_TPL_72_Size,72,C3
C0000005138,HDL_ZZ 15_Size,ZZ_15,ZZ 15,,C0000007569,TE_Pro_19_CH_Size,PRO_19CH_M,Pro_19_CH,,C3,TE,C0000010483,Premier Clean 22 FHS PK/WT TB,WHEN 'C0000005138' THEN 'HDL_ZZ 15_Size',,,IM,#N/A,,,,,,,WHEN 'VN01119A' THEN 'HA_S4_TPL_72_Size',VN01119A,HA_S4_TPL_72_Size,72,C5
C0000005139,HDL_ZZ 15_Size,ZZ_15,ZZ 15,,C0000007570,TE_Pro_19_CH_Size,PRO_19CH_M,Pro_19_CH,,C3,TE,C0000010484,Premier Clean 22 FHS GN/WT TB,WHEN 'C0000005139' THEN 'HDL_ZZ 15_Size',,,IM,#N/A,,,,,,,WHEN '61018483' THEN 'HA_S4_TPL_72_Size',61018483,HA_S4_TPL_72_Size,72,C5
C0000005140,HDL_ZZ 15_Size,ZZ_15,ZZ 15,,C0000007571,TE_Pro_19_CH_Size,PRO_19CH_M,Pro_19_CH,,C3,TE,C0000010485,Premier Clean 22 FHS BL/WT TB,WHEN 'C0000005140' THEN 'HDL_ZZ 15_Size',,,,,,,,,,,WHEN '61049730' THEN 'HA_S4_TPL_72_Size',61049730,HA_S4_TPL_72_Size,72,C3
C0000005141,HDL_ZZ 15_Size,ZZ_15,ZZ 15,,C0000007572,TE_Pro_19_CH_Size,PRO_19CH_M,Pro_19_CH,,C3,IM,C0000010523,Twister Base 23 FH CL/OR Handle,WHEN 'C0000005141' THEN 'HDL_ZZ 15_Size',,,,,,,,,,,WHEN '61007158' THEN 'HA_S4_TPL_72_Size',61007158,HA_S4_TPL_72_Size,72,C5
C0000005173,HDL_EXCL_15_Size,EC_15,EXCL_15,,C0000007863,TE_EXCL_19_Size,EC_19_M,EXCL_19,,C3,IM,C0000010524,Twister Base 23 FH CL/PK Handle,WHEN 'C0000005173' THEN 'HDL_EXCL_15_Size',,,,,,,,,,,WHEN 'VN00931A' THEN 'HA_S4_TPL_72_Size',VN00931A,HA_S4_TPL_72_Size,72,C3
C0000005174,HDL_EXCL_15_Size,EC_15,EXCL_15,,C0000007864,TE_EXCL_19_Size,EC_19_M,EXCL_19,,C3,IM,C0000010525,Twister Base 23 FH CL/GN Handle,WHEN 'C0000005174' THEN 'HDL_EXCL_15_Size',,,,,,,,,,,WHEN 'VN01315A' THEN 'HA_S4_TPL_72_Size',VN01315A,HA_S4_TPL_72_Size,72,C5
C0000005175,HDL_EXCL_15_Size,EC_15,EXCL_15,,C0000007865,TE_EXCL_19_Size,EC_19_M,EXCL_19,,C3,IM,C0000010526,Twister Base 23 FH CL/BL Handle,WHEN 'C0000005175' THEN 'HDL_EXCL_15_Size',,,,,,,,,,,WHEN '1050446' THEN 'HA_S4_TPL_72_Size',1050446,HA_S4_TPL_72_Size,72,C3
C0000005176,HDL_EXCL_15_Size,EC_15,EXCL_15,,C0000007866,TE_EXCL_19_Size,EC_19_M,EXCL_19,,C3,TE,C0000010544,Twister Base 23 FHS CL/BL TB,WHEN 'C0000005176' THEN 'HDL_EXCL_15_Size',,,,,,,,,,,WHEN '61034593' THEN 'HA_S4_TPL_72_Size',61034593,HA_S4_TPL_72_Size,72,C3
C0000005544,HDL_EC_GC 15_Size,ECGC_15,EC_GC 15,,C0000007867,TE_EXCL_19_Size,EC_19_S,EXCL_19,,C3,TE,C0000010545,Twister Base 23 FHS CL/GN TB,WHEN 'C0000005544' THEN 'HDL_EC_GC 15_Size',,,,,,,,,,,WHEN 'VN00930A' THEN 'HA_S4_TPL_72_Size',VN00930A,HA_S4_TPL_72_Size,72,C5
C0000005545,HDL_EC_GC 15_Size,ECGC_15,EC_GC 15,,C0000007868,TE_EXCL_19_Size,EC_19_S,EXCL_19,,C3,TE,C0000010546,Twister Base 23 FHS CL/PK TB,WHEN 'C0000005545' THEN 'HDL_EC_GC 15_Size',,,,,,,,,,,WHEN '1051541' THEN 'HA_S4_TPL_72_Size',1051541,HA_S4_TPL_72_Size,72,C3
C0000005546,HDL_EC_GC 15_Size,ECGC_15,EC_GC 15,,C0000007869,TE_EXCL_19_Size,EC_19_S,EXCL_19,,C3,TE,C0000010547,Twister Base 23 FHS CL/OR TB,WHEN 'C0000005546' THEN 'HDL_EC_GC 15_Size',,,,,,,,,,,WHEN '61014073' THEN 'HA_S4_TPL_72_Size',61014073,HA_S4_TPL_72_Size,72,C3
C0000005662,SKE_SF_21_Size,SF_21,SF_21,,C0000007870,TE_EXCL_19_Size,EC_19_S,EXCL_19,,C3,TE,C0000010548,Twister Base 23 FHM CL/BL TB,WHEN 'C0000005662' THEN 'SKE_SF_21_Size',,,,,,,,,,,WHEN '1051996' THEN 'HA_S4_TPL_72_Size',1051996,HA_S4_TPL_72_Size,72,C5
C0000005681,HDL_SF_15_Size,SFBK_21,SF_15,,C0000007871,TE_EXCL_19_RPP_Size,EC_19RPP_M,EXCL_19_RPP,,C3,TE,C0000010549,Twister Base 23 FHM CL/GN TB,WHEN 'C0000005681' THEN 'HDL_SF_15_Size',,,,,,,,,,,WHEN 'VN00819A' THEN 'HA_S4_TPL_72_Size',VN00819A,HA_S4_TPL_72_Size,108,C5
C0000005682,HDL_SF_15_Size,SFBK_21,SF_15,,C0000007872,TE_EXCL_19_RPP_Size,EC_19RPP_M,EXCL_19_RPP,,C3,TE,C0000010550,Twister Base 23 FHM CL/PK TB,WHEN 'C0000005682' THEN 'HDL_SF_15_Size',,,,,,,,,,,WHEN 'VN01175A' THEN 'HA_S4_TPL_72_Size',VN01175A,HA_S4_TPL_72_Size,72,C5
C0000005683,HDL_SF_15_Size,SFBK_21,SF_15,,C0000007873,TE_EXCL_19_RPP_Size,EC_19RPP_M,EXCL_19_RPP,,C3,TE,C0000010551,Twister Base 23 FHM CL/OR TB,WHEN 'C0000005683' THEN 'HDL_SF_15_Size',,,,,,,,,,,WHEN '61062111' THEN 'HA_S4_TPL_72_Size',61062111,HA_S4_TPL_72_Size,72,C3
C0000005684,HDL_SF_15_Size,SFBK_21,SF_15,,C0000007874,TE_EXCL_19_RPP_Size,EC_19RPP_M,EXCL_19_RPP,,C3,TE,C0000010630,Mid-Tier Age 5+ Tapered 23 YHX BL TB,WHEN 'C0000005684' THEN 'HDL_SF_15_Size',,,,,,,,,,,WHEN 'VN00605A' THEN 'HA_S4_TW+C_Size',VN00605A,HA_S4_TW+C_Size,72,C5
C0000005791,SKE_DBA_16_Size,DBA_16,DBA_16,,C0000007875,TE_EXCL_19_RPP_Size,EC_19RPP_S,EXCL_19_RPP,,C3,TE,C0000010631,Mid-Tier Age 5+ Tapered 23 YHX GN TB,WHEN 'C0000005791' THEN 'SKE_DBA_16_Size',,,,,,,,,,,WHEN '61006597' THEN 'HA_S4_TW+C_Size',61006597,HA_S4_TW+C_Size,24,C5
C0000005792,SKE_DBA_16_Size,DBA_16,DBA_16,,C0000007876,TE_EXCL_19_RPP_Size,EC_19RPP_S,EXCL_19_RPP,,C3,TE,C0000010632,Mid-Tier Age 5+ Tapered 23 YHX PK TB,WHEN 'C0000005792' THEN 'SKE_DBA_16_Size',,,,,,,,,,,WHEN 'VN00875A' THEN 'HA_S4_TW+C_Size',VN00875A,HA_S4_TW+C_Size,24,C5
C0000005793,SKE_DBA_16_Size,DBA_16,DBA_16,,C0000007877,TE_EXCL_19_RPP_Size,EC_19RPP_S,EXCL_19_RPP,,C3,TE,C0000010633,Mid-Tier Age 5+ Tapered 23 YHX PU TB,WHEN 'C0000005793' THEN 'SKE_DBA_16_Size',,,,,,,,,,,WHEN 'VN00591A' THEN 'HA_S4_TW+C_Size',VN00591A,HA_S4_TW+C_Size,24,C5
C0000005794,HDL_DBA_16_Size,DA_16,DBA_16,,C0000007878,TE_EXCL_19_RPP_Size,EC_19RPP_S,EXCL_19_RPP,,C3,TE,C0000010864,360 RMG 23 GN/WT/BL/WT Non AB FHS AFT TB,WHEN 'C0000005794' THEN 'HDL_DBA_16_Size',,,,,,,,,,,WHEN 'VN00737A' THEN 'HA_S4_TW_24_Size',VN00737A,HA_S4_TW_24_Size,24,C5
C0000005795,HDL_DBA_16_Size,DA_16,DBA_16,,C0000007957,TE_CHARCOAL_19_Size,SSCC_19_S,CHARCOAL_19,,C3,TE,C0000010865,360 RMG 23 PU/WT/BL/WT Non AB FHS AFT TB,WHEN 'C0000005795' THEN 'HDL_DBA_16_Size',,,,,,,,,,,WHEN 'VN00854A' THEN 'HA_S4_TW_24_Size',VN00854A,HA_S4_TW_24_Size,24,C5
C0000005796,HDL_DBA_16_Size,DA_16,DBA_16,,C0000007958,TE_CHARCOAL_19_Size,SSCC_19_S,CHARCOAL_19,,C3,TE,C0000010866,360 RMG 23 LBL/WT/BL/WT Non ABFHS AFT TB,WHEN 'C0000005796' THEN 'HDL_DBA_16_Size',,,,,,,,,,,WHEN 'VN00723A' THEN 'HA_S4_TW_24_Size',VN00723A,HA_S4_TW_24_Size,24,C5
C0000005863,SKE_TW16 UH_Size,TW16 UH,TW16 UH,,C0000007959,TE_CHARCOAL_19_Size,SSCC_19_S,CHARCOAL_19,,C3,TE,C0000010867,360 RMG 23 DBL/WT/BL/WT Non ABFHS AFT TB,WHEN 'C0000005863' THEN 'SKE_TW16 UH_Size',,,,,,,,,,,WHEN 'VN00968A' THEN 'HA_S4_TW_24_Size',VN00968A,HA_S4_TW_24_Size,24,C5
C0000005864,SKE_TW 16_Size,TW 16,TW 16,,C0000007960,TE_CHARCOAL_19_Size,SSCC_19_S,CHARCOAL_19,,C3,TE,C0000010868,360 RMG 23 GN/WT/BL/WT Non AB FHM AFT TB,WHEN 'C0000005864' THEN 'SKE_TW 16_Size',,,,,,,,,,,WHEN '61009999' THEN 'HA_S4_TW_24_Size',61009999,HA_S4_TW_24_Size,24,C5
C0000005880,HDL_TW16 UH_Size,TW16_UH,TW16 UH,,C0000008392,TE_ZZ20_Size,ZZ_20_S,ZZ20,,C3,TE,C0000010869,360 RMG 23 PU/WT/BL/WT Non AB FHM AFT TB,WHEN 'C0000005880' THEN 'HDL_TW16 UH_Size',,,,,,,,,,,WHEN 'VN00710A' THEN 'HA_S4_TW_24_Size',VN00710A,HA_S4_TW_24_Size,24,C5
C0000005881,HDL_TW16 UH_Size,TW16_UH,TW16 UH,,C0000008393,TE_ZZ20_Size,ZZ_20_S,ZZ20,,C3,TE,C0000010870,360 RMG 23 LBL/WT/BL/WT Non ABFHM AFT TB,WHEN 'C0000005881' THEN 'HDL_TW16 UH_Size',,,,,,,,,,,WHEN '1052904' THEN 'HA_S4_TW_24_Size',1052904,HA_S4_TW_24_Size,72,C5
C0000005882,HDL_TW16 UH_Size,TW16_UH,TW16 UH,,C0000008394,TE_ZZ20_Size,ZZ_20_S,ZZ20,,C3,TE,C0000010871,360 RMG 23 DBL/WT/BL/WT Non ABFHM AFT TB,WHEN 'C0000005882' THEN 'HDL_TW16 UH_Size',,,,,,,,,,,WHEN 'VN01324A' THEN 'HA_S4_TW_24_Size',VN01324A,HA_S4_TW_24_Size,24,C5
C0000005883,HDL_TW16 UH_Size,TW16_UH,TW16 UH,,C0000008395,TE_ZZ20_Size,ZZ_20_S,ZZ20,,C9,TE,C0000010923,Total Clean 23 CHS GN/WT TB,WHEN 'C0000005883' THEN 'HDL_TW16 UH_Size',,,,,,,,,,,WHEN '61015179' THEN 'HA_S4_TW_24_Size',61015179,HA_S4_TW_24_Size,24,C5
C0000005884,HDL_TW 16_Size,TW_16,TW 16,,C0000008401,TE_ZZ20_Size,ZZ_20_M,ZZ20,,C9,TE,C0000010924,Total Clean 23 CHS RD/WT TB,WHEN 'C0000005884' THEN 'HDL_TW 16_Size',,,,,,,,,,,WHEN '1050545' THEN 'HA_S4_TW_24_Size',1050545,HA_S4_TW_24_Size,24,C5
C0000005885,HDL_TW 16_Size,TW_16,TW 16,,C0000008402,TE_ZZ20_Size,ZZ_20_M,ZZ20,,#N/A,SKE,C0000010953,Twister Soft 23 UCH CL Skeleton,WHEN 'C0000005885' THEN 'HDL_TW 16_Size',,,,,,,,,,,WHEN '61023259' THEN 'HA_S4_TW_24_Size',61023259,HA_S4_TW_24_Size,24,C5
C0000005886,HDL_TW 16_Size,TW_16,TW 16,,C0000008403,TE_ZZ20_Size,ZZ_20_M,ZZ20,,C3,IM,C0000010964,Twister Soft 23 UCH CL/BL Handle,WHEN 'C0000005886' THEN 'HDL_TW 16_Size',,,,,,,,,,,WHEN 'VN00015B' THEN 'HA_S4_TW_24_Size',VN00015B,HA_S4_TW_24_Size,72,C5
C0000005887,HDL_TW 16_Size,TW_16,TW 16,,C0000008404,TE_ZZ20_Size,ZZ_20_M,ZZ20,,C3,IM,C0000010965,Twister Soft 23 UCH CL/GN Handle,WHEN 'C0000005887' THEN 'HDL_TW 16_Size',,,,,,,,,,,WHEN 'VN00006B' THEN 'HA_S4_TW_24_Size',VN00006B,HA_S4_TW_24_Size,72,C5
C0000005924,HDL_TWGC_16_Size,TWGC_16,TWGC_16,,C0000008410,TE_CDC_20_BL_Size,CCDC_11_S,CDC_20_BL,,C3,IM,C0000010966,Twister Soft 23 UCH CL/PK Handle,WHEN 'C0000005924' THEN 'HDL_TWGC_16_Size',,,,,,,,,,,WHEN '61020064' THEN 'HA_S4_TW_24_Size',61020064,HA_S4_TW_24_Size,24,C5
C0000005925,HDL_TWGC_16_Size,TWGC_16,TWGC_16,,C0000008561,TE_DBA_20_Size,DACC_20_M,DBA_20,,C3,IM,C0000010967,Twister Soft 23 UCH CL/OR Handle,WHEN 'C0000005925' THEN 'HDL_TWGC_16_Size',,,,,,,,,,,WHEN 'VN00745A' THEN 'HA_S4_TW_24_Size',VN00745A,HA_S4_TW_24_Size,24,C5
C0000005926,HDL_TWGC_16_Size,TWGC_16,TWGC_16,,C0000008562,TE_DBA_20_Size,DACC_20_M,DBA_20,,C9,IM,C0000011007,Total Clean 23 CH WT Headplate,WHEN 'C0000005926' THEN 'HDL_TWGC_16_Size',,,,,,,,,,,WHEN 'VN00736A' THEN 'HA_S4_TW_24_Size',VN00736A,HA_S4_TW_24_Size,24,C5
C0000005927,HDL_TWGC_16_Size,TWGC_16,TWGC_16,,C0000008563,TE_DBA_20_Size,DACC_20_M,DBA_20,,C9,IM,C0000011010,Total Clean 23 CH GN/WT Handle,WHEN 'C0000005927' THEN 'HDL_TWGC_16_Size',,,,,,,,,,,WHEN '61014180' THEN 'HA_S4_TW_24_Size',61014180,HA_S4_TW_24_Size,24,C5
C0000005970,HDL_TW16 PRO_Size,TW_PRO_16,TW16 PRO,,C0000008564,TE_DBA_20_Size,DACC_20_M,DBA_20,,C9,IM,C0000011011,Total Clean 23 CH OR/WT Handle,WHEN 'C0000005970' THEN 'HDL_TW16 PRO_Size',,,,,,,,,,,WHEN '61011943' THEN 'HA_S4_TW_24_Size',61011943,HA_S4_TW_24_Size,24,C5
C0000005971,HDL_TW16 PRO_Size,TW_PRO_16,TW16 PRO,,C0000008678,TE_ZZ GC 20_Size,ZZGC_20_S,ZZ GC 20,,#N/A,SKE,C0000011216,ZigZag Gumcare 24 FH WT Skeleton,WHEN 'C0000005971' THEN 'HDL_TW16 PRO_Size',,,,,,,,,,,WHEN '1050546' THEN 'HA_S4_TW_24_Size',1050546,HA_S4_TW_24_Size,24,C5
C0000005972,HDL_TW16 PRO_Size,TW_PRO_16,TW16 PRO,,C0000008679,TE_ZZ GC 20_Size,ZZGC_20_S,ZZ GC 20,,C8,IM,C0000011230,ZigZag Gumcare 24 FH WT/BL Handle,WHEN 'C0000005972' THEN 'HDL_TW16 PRO_Size',,,,,,,,,,,WHEN 'VN00592A' THEN 'HA_S4_TW_24_Size',VN00592A,HA_S4_TW_24_Size,24,C5
