Size Type IM,,Name System,,,Size Type TE,,Name System,,,Status,Area,SKU từ BOM,Check mã C từ BOM - còn chạy,Case When Tableau,,Status,Area,Size Type,,Khu Vực,Material,Size Type,,,,Material / SKU Code,SIZE TYPE,PrimaryConvFactor,Status
C0000000465,HDL_EXCL_09_Size,EC_11,EXCL_09,,C0000004862,TE_AC_17_Size,AC_17_M,AC_17,,#N/A,SKE,C0000008417,ZigZag Charcoal 20 GY FH Handle step 1,WHEN 'C0000000465' THEN 'HDL_EXCL_09_Size',,C3,IM,#N/A,,,,,,,WHEN '61036210' THEN 'HA_S3_4P_24_Size',61036210,HA_S3_4P_24_Size,24,C5
C0000000496,SKE_EXCL_GUM_Size,EXCL_GUM,EXCL_GUM,,C0000004863,TE_AC_17_Size,AC_17_M,AC_17,,#N/A,SKE,C0000008535,Double Action Charcoal 20 BK XH Skeleton,WHEN 'C0000000496' THEN 'SKE_EXCL_GUM_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61057662' THEN 'HA_S3_4P_24_Size',61057662,HA_S3_4P_24_Size,24,C3
C0000000500,HDL_EXCL_GUM_Size,EXCL_GUM,EXCL_GUM,,C0000004864,TE_AC_17_Size,AC_17_M,AC_17,,C3,IM,C0000008552,DoubleAction Charcoal 20 BK/OR XH Handle,WHEN 'C0000000500' THEN 'HDL_EXCL_GUM_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61040875' THEN 'HA_S3_4P_24_Size',61040875,HA_S3_4P_24_Size,24,C5
C0000000501,HDL_EXCL_GUM_Size,EXCL_GUM,EXCL_GUM,,C0000005108,TE_Kid 6+_S_Size,K6+_TAPER_S,Kid 6+_S,,C3,IM,C0000008553,DoubleAction Charcoal 20 BK/GN XH Handle,WHEN 'C0000000501' THEN 'HDL_EXCL_GUM_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61030080' THEN 'HA_S3_4P_24_Size',61030080,HA_S3_4P_24_Size,24,C3
C0000000502,HDL_EXCL_GUM_Size,EXCL_GUM,EXCL_GUM,,C0000005109,TE_Kid 6+_S_Size,K6+_TAPER_S,Kid 6+_S,,C3,IM,C0000008554,DoubleAction Charcoal 20 BK/PK XH Handle,WHEN 'C0000000502' THEN 'HDL_EXCL_GUM_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61053320' THEN 'HA_S3_4P_48_Size',61053320,HA_S3_4P_48_Size,48,C3
C0000000503,HDL_EXCL_GUM_Size,EXCL_GUM,EXCL_GUM,,C0000005134,TE_GC 15_Size,GC_15_S,GC 15,,C3,IM,C0000008555,DoubleAction Charcoal 20 BK/BL XH Handle,WHEN 'C0000000503' THEN 'HDL_EXCL_GUM_Size',,C3,IM,#N/A,,,,,,,WHEN '61030115' THEN 'HA_S3_4P_48_Size',61030115,HA_S3_4P_48_Size,48,C3
C0000000604,HDL_CC09_Size,CC09,CC09,,C0000005135,TE_GC 15_Size,GC_15_S,GC 15,,C3,TE,C0000008561,Double Action Charcoal 20 BK/GN XHM TB,WHEN 'C0000000604' THEN 'HDL_CC09_Size',,C3,IM,#N/A,,,,,,,WHEN '168768' THEN 'HA_S3_4P_72_360_Size',168768,HA_S3_4P_72_360_Size,72,C8
C0000000753,SKE_ZZ09_Size,ZZ09,ZZ09,,C0000005136,TE_GC 15_Size,GC_15_S,GC 15,,C3,TE,C0000008562,Double Action Charcoal 20 BK/OR XHM TB,WHEN 'C0000000753' THEN 'SKE_ZZ09_Size',,C3,IM,#N/A,,,,,,,WHEN '168742' THEN 'HA_S3_4P_72_360_Size',168742,HA_S3_4P_72_360_Size,72,C8
C0000000795,HDL_DC 97_Size,DC 97,DC 97,,C0000005137,TE_GC 15_Size,GC_15_S,GC 15,,C3,TE,C0000008563,Double Action Charcoal 20 BK/PK XHM TB,WHEN 'C0000000795' THEN 'HDL_DC 97_Size',,C3,IM,#N/A,,,,,,,WHEN 'CN08056A' THEN 'HA_S3_4P_72_360_Size',CN08056A,HA_S3_4P_72_360_Size,72,C8
C0000000796,HDL_DC 97_Size,DC 97,DC 97,,C0000005148,TE_ZZ15_Size,ZZ_15_M,ZZ15,,C3,TE,C0000008564,Double Action Charcoal 20 BK/BL XHM TB,WHEN 'C0000000796' THEN 'HDL_DC 97_Size',,C3,IM,#N/A,,,,,,,WHEN '168743' THEN 'HA_S3_4P_72_360_Size',168743,HA_S3_4P_72_360_Size,72,C8
